team_1,team_2,team_1_odds,team_2_odds
kt rolster,team liquid,4,1.22
edward gaming,mad team,4,1.22
phong vu buffalo,flash wolves,3.75,1.25
afreeca freecs,g2 esports,3.4,1.3
royal never give up,cloud9,4.33,1.2
gen.g,team vitality,4,1.22
flash wolves,afreeca freecs,2.75,1.4
phong vu buffalo,g2 esports,3.25,1.33
100 thieves,fnatic,2.75,1.4
invictus gaming,g-rex,3.75,1.25
team vitality,cloud9,2.75,1.4
gen.g,royal never give up,2.37,1.53
mad team,kt rolster,4.33,1.2
team liquid,edward gaming,3,1.36
fnatic,invictus gaming,3.25,1.33
100 thieves,g-rex,2.75,1.4
royal never give up,team vitality,3.4,1.3
cloud9,gen.g,4,1.22
afreeca freecs,phong vu buffalo,4.5,1.16
g2 esports,flash wolves,2.75,1.4
invictus gaming,100 thieves,4,1.22
g-rex,fnatic,3,1.36
team liquid,mad team,2.75,1.4
kt rolster,edward gaming,3.25,1.33